,x,y
354,76.084236145,-43.6497573853
355,162.036132812,-52.7968292236
356,640.95135498,-96.4981307983
357,87.2579574585,-131.231918335
358,87.2579574585,-131.231918335
359,682.668212891,-190.161056519
360,109.309898376,-317.331359863
361,549.519165039,-334.256011963
362,586.467346191,-333.317840576
363,380.642089844,-334.93939209
364,434.003356934,-336.737579346
365,385.153533936,-460.716796875
366,25.2889480591,-22.6968917847
367,523.947631836,-95.816696167
368,523.947631836,-95.816696167
369,857.598510742,-182.969345093
370,963.907775879,-185.985778809
371,718.048095703,-188.529327393
372,718.048095703,-188.529327393
373,787.46862793,-187.508377075
374,557.932067871,-193.543731689
375,557.932067871,-193.543731689
376,588.003417969,-192.117752075
377,588.003417969,-192.117752075
378,346.081512451,-195.62461853
379,346.081512451,-195.62461853
380,407.93649292,-194.12512207
381,445.347351074,-196.255813599
382,445.347351074,-196.255813599
383,481.878387451,-195.696487427
384,481.878387451,-195.696487427
385,51.6629066467,-317.511749268
386,241.364242554,-317.059265137
387,241.364242554,-317.059265137
388,524.810668945,-316.559631348
389,524.810668945,-316.559631348
390,564.816223145,-316.579742432
391,961.798095703,-316.491790771
392,961.798095703,-316.491790771
393,205.221801758,-318.199554443
394,205.221801758,-318.199554443
395,346.852996826,-318.450744629
396,156.18901062,-336.677398682
397,189.549163818,-34.7826957703
398,245.939453125,-455.120758057
399,515.690002441,-458.231445312
400,34.3684234619,-197.287643433
401,34.3684234619,-197.287643433
402,470.084075928,-455.099334717
403,556.880004883,-455.061096191
